35,rotateTheBox,[27;]
35,box,[29;]
4,box,[35;29;]
5,box,[35;29;]
5,728890494[0],[29;]
6,m,[5;]
6,n,[4;]
7,n,[4;]
8,m,[5;]
9,ans,[6;]
9,445051633[0],[29;]
9,n,[4;]
9,i,[7;]
9,j,[8;]
9,box,[35;29;]
9,728890494[2],[29;]
12,n,[4;]
13,m,[5;]
14,m,[5;]
15,ans,[6;]
15,661672156[0],[9;]
15,j,[12;]
15,i,[14;]
15,1147985808[2],[9;]
17,ans,[6;]
17,661672156[0],[9;]
17,j,[12;]
17,i,[14;]
17,1147985808[2],[9;]
18,ans,[6;]
18,j,[12;]
18,i,[14;]
18,1147985808[0],[9;]
19,ans,[6;]
19,ns,[13;]
19,j,[12;]
19,1147985808[2],[9;]
20,ns,[13;]
16,i,[14;]
24,ans,[6;]
38,result,[35;]
38,RotateTheBox.main.38:108,[35;]
38,RotateTheBox.main.38:93,[35;]
39,row,[38;9;]
