45,N,[44;]
45,findBlackPixel,[37;]
45,picture,[38;]
5,picture,[38;45;]
6,picture,[45;]
6,250075633[0],[38;]
7,m,[5;]
8,m,[5;]
8,picture,[38;45;]
8,rowStrings,[7;]
8,250075633[2],[38;]
8,250075633[3],[38;]
8,250075633[0],[38;]
8,250075633[1],[38;]
9,m,[5;]
10,n,[6;]
11,col,[10;]
11,n,[6;]
12,m,[5;]
12,i,[11;]
13,n,[6;]
14,1919892312[0],[38;]
14,picture,[45;]
14,i,[12;]
14,j,[13;]
14,250075633[0],[38;]
15,row,[9;]
15,i,[12;]
16,col,[10;]
16,i,[12;]
16,j,[13;]
16,932583850[1],[11;]
21,m,[5;]
22,n,[6;]
23,1919892312[0],[38;]
23,picture,[45;]
23,i,[21;]
23,j,[22;]
23,250075633[0],[38;]
25,col,[10;11;]
25,j,[22;]
25,932583850[1],[16;11;]
26,231685785[0],[8;]
26,id,[25;]
26,rowStrings,[7;8;]
26,i,[21;]
30,able,[24;]
30,cnt,[20;]
34,cnt,[30;]
46,result,[45;]
