63,solution,[56;]
63,matrix,[57;]
7,matrix,[57;63;]
8,n,[7;]
13,1555093762[0],[57;]
13,matrix,[63;]
15,m,[13;]
15,cnt,[13;]
15,n,[7;]
17,1555093762[0],[57;]
17,matrix,[63;]
17,y,[13;]
17,x,[13;]
17,list,[12;]
17,752848266[0],[57;]
18,rightUp,[14;]
19,x,[13;]
23,y,[13;]
24,m,[13;]
24,y,[23;]
44,cnt,[13;]
31,y,[23;]
31,x,[13;]
31,n,[7;]
32,x,[13;]
33,y,[23;]
35,x,[32;]
36,x,[35;]
36,n,[7;]
20,x,[35;]
21,y,[33;]
25,m,[13;]
26,x,[20;]
37,n,[7;]
38,y,[33;]
47,list,[17;12;]
48,list,[17;12;]
49,i,[48;]
49,list,[17;12;]
49,ans,[47;]
50,ans,[47;]
64,result,[63;]
