20,countGood,[19;]
20,nums,[17;]
20,k,[18;]
7,nums,[17;20;]
8,curr,[5;]
8,i,[7;]
8,map,[6;]
8,1198108795[0],[17;]
8,nums,[17;20;]
9,i,[7;]
9,map,[6;]
9,1198108795[0],[17;]
9,nums,[17;20;]
10,curr,[8;]
10,k,[20;]
7,i,[7;]
7,count,[5;]
7,nums,[17;20;]
7,j,[7;]
8,curr,[8;]
8,i,[7;]
8,map,[6;9;]
8,1198108795[1],[17;]
8,nums,[17;20;]
9,i,[7;]
9,map,[6;8;9;]
9,1198108795[1],[17;]
9,nums,[17;20;]
10,curr,[8;]
10,k,[20;]
7,i,[7;]
7,count,[7;]
7,nums,[17;20;]
7,j,[7;]
8,curr,[8;]
8,i,[7;]
8,map,[6;9;]
8,1198108795[2],[17;]
8,nums,[17;20;]
9,i,[7;]
9,map,[6;9;]
9,1198108795[2],[17;]
9,nums,[17;20;]
10,curr,[8;]
10,k,[20;]
7,i,[7;]
7,count,[7;]
7,nums,[17;20;]
7,j,[7;]
8,curr,[8;]
8,i,[7;]
8,map,[6;9;]
8,1198108795[3],[17;]
8,nums,[17;20;]
9,i,[7;]
9,map,[6;9;]
9,1198108795[3],[17;]
9,nums,[17;20;]
10,curr,[8;]
10,k,[20;]
11,curr,[8;]
11,map,[6;9;]
11,1198108795[0],[17;]
11,nums,[17;20;]
11,j,[7;]
10,curr,[11;]
10,j,[7;]
10,k,[20;]
7,i,[7;]
7,count,[7;]
7,nums,[17;20;]
7,j,[10;]
8,curr,[11;]
8,i,[7;]
8,map,[6;9;11;]
8,1198108795[4],[17;]
