24,halveArray,[22;]
24,nums,[23;]
9,HalveArray.halveArray.9:20,[23;24;]
9,nums,[23;24;]
9,HalveArray.halveArray.9:35,[23;24;]
9,1531448569[0],[23;]
10,num,[9;]
10,sum,[8;]
11,queue,[7;]
11,num,[9;]
9,HalveArray.halveArray.9:37,[9;]
9,HalveArray.halveArray.9:35,[23;9;]
9,HalveArray.halveArray.9:28,[9;]
9,1531448569[1],[23;]
9,HalveArray.halveArray.9:74,[9;]
9,HalveArray.halveArray.9:30,[9;]
10,num,[9;]
10,sum,[10;]
11,queue,[7;11;]
11,num,[9;]
9,HalveArray.halveArray.9:37,[9;]
9,HalveArray.halveArray.9:35,[23;9;]
9,HalveArray.halveArray.9:28,[9;]
9,HalveArray.halveArray.9:74,[9;]
9,1531448569[2],[23;]
9,HalveArray.halveArray.9:30,[9;]
10,num,[9;]
10,sum,[10;]
11,queue,[7;11;]
11,num,[9;]
9,HalveArray.halveArray.9:28,[9;]
9,HalveArray.halveArray.9:74,[9;]
9,HalveArray.halveArray.9:30,[9;]
14,queue,[7;11;]
