50,largest1BorderedSquare,[43;]
50,grid,[44;]
3,grid,[50;44;]
4,445884362[0],[44;]
4,grid,[50;]
5,n,[3;]
5,m,[4;]
6,n,[3;]
6,m,[4;]
7,n,[3;]
8,m,[4;]
9,j,[8;]
9,i,[7;]
9,445884362[0],[44;]
9,grid,[50;]
9,999661724[0],[44;]
11,j,[8;]
11,i,[7;]
11,hl,[5;]
12,j,[8;]
12,i,[7;]
12,vl,[6;]
13,m,[4;]
13,j,[8;]
14,k,[13;]
14,i,[7;]
14,445884362[0],[44;]
14,grid,[50;]
14,999661724[1],[44;]
16,k,[13;]
16,j,[8;]
16,i,[7;]
16,hl,[5;]
13,k,[13;]
13,m,[4;]
14,k,[13;]
14,i,[7;]
14,445884362[0],[44;]
14,999661724[2],[44;]
14,grid,[50;]
16,k,[13;]
16,j,[8;]
16,i,[7;]
16,hl,[5;]
13,k,[13;]
13,m,[4;]
18,k,[13;]
18,n,[3;]
18,i,[7;]
19,445884362[1],[44;]
19,k,[18;]
19,721748895[0],[44;]
19,j,[8;]
19,grid,[50;44;]
21,k,[18;]
21,j,[8;]
21,i,[7;]
21,vl,[6;]
18,k,[18;]
18,n,[3;]
19,445884362[2],[44;]
19,k,[18;]
19,j,[8;]
19,1642534850[0],[44;]
19,grid,[50;44;]
21,k,[18;]
21,j,[8;]
21,i,[7;]
21,vl,[6;]
18,k,[18;]
18,n,[3;]
8,m,[4;]
8,j,[8;]
9,j,[8;]
9,i,[7;]
9,445884362[0],[44;]
9,grid,[50;44;]
9,999661724[1],[44;]
11,j,[8;]
11,i,[7;]
11,hl,[5;]
12,j,[8;]
12,i,[7;]
12,vl,[6;]
13,k,[18;]
13,m,[4;]
13,j,[8;]
14,k,[13;]
14,i,[7;]
14,445884362[0],[44;]
14,999661724[2],[44;]
14,grid,[50;44;]
16,k,[13;]
16,j,[8;]
16,i,[7;]
16,hl,[5;]
13,k,[13;]
13,m,[4;]
18,k,[13;]
18,n,[3;]
18,i,[7;]
19,445884362[1],[44;]
19,k,[18;]
19,721748895[1],[44;]
19,j,[8;]
19,grid,[50;44;]
8,m,[4;]
8,j,[8;]
9,j,[8;]
9,i,[7;]
9,445884362[0],[44;]
9,999661724[2],[44;]
9,grid,[50;44;]
11,j,[8;]
11,i,[7;]
11,hl,[5;]
12,j,[8;]
12,i,[7;]
12,vl,[6;]
13,k,[18;]
13,m,[4;]
13,j,[8;]
18,k,[13;]
18,n,[3;]
18,i,[7;]
19,445884362[1],[44;]
19,k,[18;]
19,j,[8;]
19,721748895[2],[44;]
19,grid,[50;44;]
21,k,[18;]
21,j,[8;]
21,i,[7;]
21,vl,[6;]
18,k,[18;]
18,n,[3;]
19,445884362[2],[44;]
19,1642534850[2],[44;]
19,k,[18;]
19,j,[8;]
19,grid,[50;44;]
21,k,[18;]
21,j,[8;]
21,i,[7;]
21,vl,[6;]
18,k,[18;]
18,n,[3;]
8,m,[4;]
8,j,[8;]
7,n,[3;]
7,i,[7;]
8,m,[4;]
8,j,[8;]
9,445884362[1],[44;]
9,721748895[0],[44;]
9,j,[8;]
9,i,[7;]
9,grid,[50;44;]
11,j,[8;]
11,i,[7;]
11,hl,[5;]
12,j,[8;]
12,i,[7;]
12,vl,[6;]
13,k,[18;]
13,m,[4;]
13,j,[8;]
14,445884362[1],[44;]
14,k,[13;]
14,721748895[1],[44;]
14,i,[7;]
14,grid,[50;44;]
18,k,[13;]
18,n,[3;]
18,i,[7;]
19,445884362[2],[44;]
19,k,[18;]
19,j,[8;]
19,1642534850[0],[44;]
19,grid,[50;44;]
21,k,[18;]
21,j,[8;]
21,i,[7;]
21,vl,[6;]
18,k,[18;]
18,n,[3;]
8,m,[4;]
8,j,[8;]
9,445884362[1],[44;]
9,721748895[1],[44;]
9,j,[8;]
9,i,[7;]
9,grid,[50;44;]
8,m,[4;]
8,j,[8;]
9,445884362[1],[44;]
9,j,[8;]
9,721748895[2],[44;]
9,i,[7;]
9,grid,[50;44;]
11,j,[8;]
11,i,[7;]
11,hl,[5;]
12,j,[8;]
12,i,[7;]
12,vl,[6;]
13,k,[18;]
13,m,[4;]
13,j,[8;]
18,k,[13;]
18,n,[3;]
18,i,[7;]
19,445884362[2],[44;]
19,1642534850[2],[44;]
19,k,[18;]
19,j,[8;]
19,grid,[50;44;]
21,k,[18;]
21,j,[8;]
21,i,[7;]
21,vl,[6;]
18,k,[18;]
18,n,[3;]
8,m,[4;]
8,j,[8;]
7,n,[3;]
7,i,[7;]
8,m,[4;]
8,j,[8;]
9,445884362[2],[44;]
9,j,[8;]
9,i,[7;]
9,1642534850[0],[44;]
9,grid,[50;44;]
11,j,[8;]
11,i,[7;]
11,hl,[5;]
12,j,[8;]
12,i,[7;]
12,vl,[6;]
