29,lenLongestFibSubseq,[26;]
29,A,[27;]
5,A,[29;]
6,n,[5;]
7,1134517053[0],[27;]
7,i,[6;]
7,A,[27;29;]
7,s,[4;]
6,n,[5;]
6,i,[6;]
7,1134517053[1],[27;]
7,i,[6;]
7,A,[27;29;]
7,s,[4;7;]
6,n,[5;]
6,i,[6;]
7,1134517053[2],[27;]
7,i,[6;]
7,A,[27;29;]
7,s,[4;7;]
6,n,[5;]
6,i,[6;]
7,i,[6;]
7,1134517053[3],[27;]
7,A,[27;29;]
7,s,[4;7;]
6,n,[5;]
6,i,[6;]
7,1134517053[4],[27;]
7,i,[6;]
7,A,[27;29;]
7,s,[4;7;]
6,n,[5;]
6,i,[6;]
7,i,[6;]
7,A,[27;29;]
7,s,[4;7;]
7,1134517053[5],[27;]
6,n,[5;]
6,i,[6;]
7,i,[6;]
7,A,[27;29;]
7,1134517053[6],[27;]
7,s,[4;7;]
6,n,[5;]
6,i,[6;]
9,n,[5;]
11,n,[5;]
12,n,[5;]
12,i,[11;]
13,A,[29;]
13,1134517053[6],[27;]
13,i,[11;]
13,j,[12;]
14,next,[13;]
14,s,[4;7;]
19,dp,[9;]
19,i,[11;]
19,j,[12;]
12,n,[5;]
12,j,[12;]
11,i,[11;]
12,n,[5;]
12,i,[11;]
12,j,[12;]
13,A,[29;]
13,1134517053[5],[27;]
13,i,[11;]
13,j,[12;]
14,next,[13;]
14,s,[4;7;]
19,dp,[9;]
19,i,[11;]
19,j,[12;]
12,n,[5;]
12,j,[12;]
13,A,[29;]
13,1134517053[6],[27;]
13,1134517053[5],[27;]
13,i,[11;]
13,j,[12;]
14,next,[13;]
14,s,[4;7;]
19,dp,[9;]
19,193064360[5],[19;]
19,i,[11;]
19,j,[12;]
12,n,[5;]
12,j,[12;]
11,i,[11;]
12,n,[5;]
12,i,[11;]
12,j,[12;]
13,1134517053[4],[27;]
13,A,[29;]
13,i,[11;]
13,j,[12;]
14,next,[13;]
14,s,[4;7;]
19,dp,[9;]
19,i,[11;]
19,j,[12;]
12,n,[5;]
12,j,[12;]
13,1134517053[4],[27;]
13,A,[29;]
13,1134517053[5],[27;]
13,i,[11;]
13,j,[12;]
14,next,[13;]
14,s,[4;7;]
19,dp,[9;]
19,193064360[4],[19;]
19,i,[11;]
19,j,[12;]
12,n,[5;]
12,j,[12;]
13,1134517053[4],[27;]
13,A,[29;]
13,1134517053[6],[27;]
13,i,[11;]
13,j,[12;]
14,next,[13;]
14,s,[4;7;]
19,dp,[9;]
19,193064360[4],[19;]
19,i,[11;]
19,j,[12;]
12,n,[5;]
12,j,[12;]
11,i,[11;]
12,n,[5;]
12,i,[11;]
12,j,[12;]
13,1134517053[3],[27;]
13,A,[29;]
13,i,[11;]
13,j,[12;]
14,next,[13;]
14,s,[4;7;]
19,dp,[9;]
19,i,[11;]
19,j,[12;]
12,n,[5;]
12,j,[12;]
13,1134517053[4],[27;]
13,1134517053[3],[27;]
13,A,[29;]
13,i,[11;]
13,j,[12;]
14,next,[13;]
14,s,[4;7;]
19,dp,[9;]
19,193064360[3],[19;]
19,i,[11;]
19,j,[12;]
12,n,[5;]
12,j,[12;]
13,1134517053[3],[27;]
13,A,[29;]
13,1134517053[5],[27;]
13,i,[11;]
13,j,[12;]
14,next,[13;]
14,s,[4;7;]
19,dp,[9;]
19,193064360[3],[19;]
19,i,[11;]
19,j,[12;]
12,n,[5;]
12,j,[12;]
13,1134517053[3],[27;]
13,A,[29;]
13,1134517053[6],[27;]
13,i,[11;]
13,j,[12;]
14,next,[13;]
14,s,[4;7;]
19,dp,[9;]
19,193064360[3],[19;]
19,i,[11;]
19,j,[12;]
12,n,[5;]
12,j,[12;]
11,i,[11;]
12,n,[5;]
12,i,[11;]
12,j,[12;]
13,1134517053[2],[27;]
13,A,[29;]
13,i,[11;]
13,j,[12;]
14,next,[13;]
14,s,[4;7;]
15,next,[13;]
15,s,[4;7;]
16,k,[15;]
16,dp,[9;]
16,i,[11;]
16,j,[12;]
17,193064360[2],[16;]
17,dp,[9;]
17,max,[10;]
17,1109371569[2],[16;]
17,i,[11;]
17,j,[12;]
12,n,[5;]
12,j,[12;]
13,1134517053[2],[27;]
13,1134517053[3],[27;]
13,A,[29;]
13,i,[11;]
13,j,[12;]
14,next,[13;]
14,s,[4;7;]
15,next,[13;]
15,s,[4;7;15;]
16,193064360[2],[16;]
16,728890494[6],[19;]
16,k,[15;]
16,dp,[9;]
16,193064360[3],[19;]
16,i,[11;]
