40,minimumMountainRemovals,[36;]
40,nums,[38;]
3,nums,[38;40;]
4,n,[3;]
6,n,[3;]
7,i,[6;]
7,left,[4;]
9,i,[6;]
10,610998173[0],[38;]
10,i,[6;]
10,610998173[1],[38;]
10,nums,[38;40;]
10,j,[9;]
9,i,[6;]
9,j,[9;]
6,i,[6;]
6,n,[3;]
7,i,[6;]
7,left,[4;7;]
9,i,[6;]
9,j,[9;]
10,610998173[0],[38;]
10,i,[6;]
10,610998173[2],[38;]
10,nums,[38;40;]
10,j,[9;]
9,i,[6;]
9,j,[9;]
10,i,[6;]
10,610998173[2],[38;]
10,610998173[1],[38;]
10,nums,[38;40;]
10,j,[9;]
9,i,[6;]
9,j,[9;]
6,i,[6;]
6,n,[3;]
7,i,[6;]
7,left,[4;7;]
9,i,[6;]
9,j,[9;]
10,610998173[0],[38;]
10,i,[6;]
10,610998173[3],[38;]
10,nums,[38;40;]
10,j,[9;]
11,i,[6;]
11,left,[4;7;]
11,1104106489[3],[7;]
11,j,[9;]
9,i,[6;]
9,j,[9;]
10,i,[6;]
10,610998173[1],[38;]
10,610998173[3],[38;]
10,nums,[38;40;]
10,j,[9;]
11,i,[6;]
11,left,[4;7;]
11,1104106489[1],[7;]
11,1104106489[3],[11;]
11,j,[9;]
9,i,[6;]
9,j,[9;]
10,i,[6;]
10,610998173[2],[38;]
10,610998173[3],[38;]
10,nums,[38;40;]
10,j,[9;]
11,i,[6;]
11,left,[4;7;]
11,1104106489[2],[7;]
11,1104106489[3],[11;]
11,j,[9;]
9,i,[6;]
9,j,[9;]
6,i,[6;]
6,n,[3;]
7,i,[6;]
7,left,[4;7;]
9,i,[6;]
9,j,[9;]
10,610998173[0],[38;]
10,i,[6;]
10,610998173[4],[38;]
10,nums,[38;40;]
10,j,[9;]
11,i,[6;]
11,left,[4;7;]
11,1104106489[4],[7;]
11,j,[9;]
9,i,[6;]
9,j,[9;]
10,i,[6;]
10,610998173[1],[38;]
10,610998173[4],[38;]
10,nums,[38;40;]
10,j,[9;]
11,i,[6;]
11,left,[4;7;]
11,1104106489[1],[7;]
11,1104106489[4],[11;]
11,j,[9;]
9,i,[6;]
9,j,[9;]
10,i,[6;]
10,610998173[2],[38;]
10,610998173[4],[38;]
10,nums,[38;40;]
10,j,[9;]
11,i,[6;]
11,left,[4;7;]
11,1104106489[2],[7;]
11,1104106489[4],[11;]
11,j,[9;]
9,i,[6;]
9,j,[9;]
10,i,[6;]
10,610998173[4],[38;]
10,610998173[3],[38;]
10,nums,[38;40;]
10,j,[9;]
11,i,[6;]
11,left,[4;7;]
11,1104106489[3],[11;]
11,1104106489[4],[11;]
11,j,[9;]
9,i,[6;]
9,j,[9;]
6,i,[6;]
6,n,[3;]
7,i,[6;]
7,left,[4;7;]
9,i,[6;]
9,j,[9;]
10,610998173[0],[38;]
10,i,[6;]
10,nums,[38;40;]
10,610998173[5],[38;]
10,j,[9;]
9,i,[6;]
9,j,[9;]
10,i,[6;]
10,610998173[1],[38;]
10,nums,[38;40;]
10,610998173[5],[38;]
10,j,[9;]
11,i,[6;]
11,left,[4;7;]
11,1104106489[1],[7;]
11,1104106489[5],[7;]
11,j,[9;]
9,i,[6;]
9,j,[9;]
10,i,[6;]
10,610998173[2],[38;]
10,nums,[38;40;]
10,610998173[5],[38;]
10,j,[9;]
11,i,[6;]
11,left,[4;7;]
11,1104106489[2],[7;]
11,1104106489[5],[11;]
11,j,[9;]
9,i,[6;]
9,j,[9;]
10,i,[6;]
10,610998173[3],[38;]
10,nums,[38;40;]
10,610998173[5],[38;]
10,j,[9;]
9,i,[6;]
9,j,[9;]
10,i,[6;]
10,610998173[4],[38;]
10,nums,[38;40;]
10,610998173[5],[38;]
10,j,[9;]
9,i,[6;]
9,j,[9;]
6,i,[6;]
6,n,[3;]
7,i,[6;]
7,left,[4;7;]
9,i,[6;]
9,j,[9;]
10,610998173[0],[38;]
10,i,[6;]
10,nums,[38;40;]
10,610998173[6],[38;]
10,j,[9;]
11,i,[6;]
11,left,[4;7;]
11,1104106489[6],[7;]
11,j,[9;]
9,i,[6;]
9,j,[9;]
10,i,[6;]
10,610998173[1],[38;]
10,nums,[38;40;]
10,610998173[6],[38;]
10,j,[9;]
11,i,[6;]
11,left,[4;7;]
11,1104106489[1],[7;]
11,1104106489[6],[11;]
11,j,[9;]
9,i,[6;]
9,j,[9;]
10,i,[6;]
10,610998173[2],[38;]
10,nums,[38;40;]
10,610998173[6],[38;]
10,j,[9;]
11,i,[6;]
11,left,[4;7;]
11,1104106489[2],[7;]
11,1104106489[6],[11;]
11,j,[9;]
9,i,[6;]
9,j,[9;]
10,i,[6;]
10,610998173[3],[38;]
10,nums,[38;40;]
10,610998173[6],[38;]
10,j,[9;]
9,i,[6;]
9,j,[9;]
10,i,[6;]
10,610998173[4],[38;]
10,nums,[38;40;]
10,610998173[6],[38;]
10,j,[9;]
9,i,[6;]
9,j,[9;]
10,i,[6;]
10,nums,[38;40;]
10,610998173[6],[38;]
10,610998173[5],[38;]
