13,k,[9;]
17,s,[7;]
19,c,[17;]
26,loop,[11;]
26,c,[17;]
28,remaining,[13;]
28,r,[26;]
30,ans,[15;]
32,remaining,[13;]
32,r,[26;]
17,_00000388Test.testMainLogic.17:37,[17;]
17,_00000388Test.testMainLogic.17:35,[17;]
17,_00000388Test.testMainLogic.17:106,[17;]
17,_00000388Test.testMainLogic.17:42,[17;]
17,_00000388Test.testMainLogic.17:44,[17;]
19,c,[17;]
26,loop,[11;]
26,c,[17;]
28,remaining,[32;]
28,r,[26;]
30,ans,[30;15;]
32,remaining,[32;]
32,r,[26;]
17,_00000388Test.testMainLogic.17:37,[17;]
17,_00000388Test.testMainLogic.17:35,[17;]
17,_00000388Test.testMainLogic.17:106,[17;]
17,_00000388Test.testMainLogic.17:42,[17;]
17,_00000388Test.testMainLogic.17:44,[17;]
19,c,[17;]
26,loop,[11;]
26,c,[17;]
28,remaining,[32;]
28,r,[26;]
30,ans,[30;15;]
32,remaining,[32;]
32,r,[26;]
17,_00000388Test.testMainLogic.17:37,[17;]
17,_00000388Test.testMainLogic.17:35,[17;]
17,_00000388Test.testMainLogic.17:106,[17;]
17,_00000388Test.testMainLogic.17:42,[17;]
17,_00000388Test.testMainLogic.17:44,[17;]
19,c,[17;]
26,loop,[11;]
26,c,[17;]
28,remaining,[32;]
28,r,[26;]
30,ans,[30;15;]
32,remaining,[32;]
32,r,[26;]
17,_00000388Test.testMainLogic.17:37,[17;]
17,_00000388Test.testMainLogic.17:35,[17;]
17,_00000388Test.testMainLogic.17:106,[17;]
17,_00000388Test.testMainLogic.17:42,[17;]
17,_00000388Test.testMainLogic.17:44,[17;]
19,c,[17;]
26,loop,[11;]
26,c,[17;]
28,remaining,[32;]
28,r,[26;]
37,ans,[30;15;]
37,c,[17;]
17,_00000388Test.testMainLogic.17:37,[17;]
17,_00000388Test.testMainLogic.17:35,[17;]
17,_00000388Test.testMainLogic.17:106,[17;]
17,_00000388Test.testMainLogic.17:42,[17;]
17,_00000388Test.testMainLogic.17:44,[17;]
19,c,[17;]
26,loop,[11;]
26,c,[17;]
28,remaining,[32;]
28,r,[26;]
37,ans,[37;15;]
37,c,[17;]
17,_00000388Test.testMainLogic.17:37,[17;]
17,_00000388Test.testMainLogic.17:35,[17;]
17,_00000388Test.testMainLogic.17:106,[17;]
17,_00000388Test.testMainLogic.17:42,[17;]
17,_00000388Test.testMainLogic.17:44,[17;]
19,c,[17;]
26,loop,[11;]
26,c,[17;]
28,remaining,[32;]
28,r,[26;]
30,ans,[37;15;]
32,remaining,[32;]
32,r,[26;]
17,_00000388Test.testMainLogic.17:37,[17;]
17,_00000388Test.testMainLogic.17:35,[17;]
17,_00000388Test.testMainLogic.17:106,[17;]
17,_00000388Test.testMainLogic.17:42,[17;]
17,_00000388Test.testMainLogic.17:44,[17;]
19,c,[17;]
26,loop,[11;]
26,c,[17;]
28,remaining,[32;]
28,r,[26;]
30,ans,[37;30;15;]
32,remaining,[32;]
32,r,[26;]
17,_00000388Test.testMainLogic.17:37,[17;]
17,_00000388Test.testMainLogic.17:35,[17;]
17,_00000388Test.testMainLogic.17:106,[17;]
17,_00000388Test.testMainLogic.17:42,[17;]
17,_00000388Test.testMainLogic.17:44,[17;]
19,c,[17;]
26,loop,[11;]
26,c,[17;]
28,remaining,[32;]
28,r,[26;]
37,ans,[37;30;15;]
37,c,[17;]
17,_00000388Test.testMainLogic.17:37,[17;]
17,_00000388Test.testMainLogic.17:35,[17;]
17,_00000388Test.testMainLogic.17:106,[17;]
17,_00000388Test.testMainLogic.17:42,[17;]
17,_00000388Test.testMainLogic.17:44,[17;]
19,c,[17;]
26,loop,[11;]
26,c,[17;]
28,remaining,[32;]
28,r,[26;]
37,ans,[37;15;]
37,c,[17;]
17,_00000388Test.testMainLogic.17:37,[17;]
17,_00000388Test.testMainLogic.17:35,[17;]
17,_00000388Test.testMainLogic.17:106,[17;]
17,_00000388Test.testMainLogic.17:42,[17;]
17,_00000388Test.testMainLogic.17:44,[17;]
19,c,[17;]
21,ans,[37;15;]
21,c,[17;]
17,_00000388Test.testMainLogic.17:37,[17;]
17,_00000388Test.testMainLogic.17:35,[17;]
17,_00000388Test.testMainLogic.17:106,[17;]
17,_00000388Test.testMainLogic.17:42,[17;]
17,_00000388Test.testMainLogic.17:44,[17;]
19,c,[17;]
26,loop,[11;]
26,c,[17;]
28,remaining,[32;]
28,r,[26;]
37,ans,[21;15;]
37,c,[17;]
17,_00000388Test.testMainLogic.17:37,[17;]
17,_00000388Test.testMainLogic.17:35,[17;]
17,_00000388Test.testMainLogic.17:106,[17;]
41,remaining,[32;]
43,remaining,[32;]
45,ans,[37;15;]
46,remaining,[43;]
46,lastChar,[45;]
46,ans,[37;15;]
49,ans,[37;46;15;]
